/Users/robnoo/Documents/Github/Code-theory-project/src/cmake-build-debug/System Playfair
K: 0	T: 1	E: 0.856866	S: abcdefghikvmnopqrstulwxyz	Time: 1ms
K: 10000	T: 0.99	E: 0.944541	S: gtxemwlhfyrocnpikqbadzuvs	Time: 10651ms
K: 20000	T: 0.98	E: 0.835706	S: uqlotizhdcmxybgnasfkpwrve	Time: 21180ms
K: 30000	T: 0.97	E: 0.789329	S: xazcumnrfkdopvqltihbyswge	Time: 31680ms
K: 40000	T: 0.96	E: 0.870223	S: izeaxqystwgncrdhumklfopbv	Time: 42164ms
K: 50000	T: 0.95	E: 0.842729	S: qnymigotkcdpwxfhvabzslure	Time: 52660ms
K: 60000	T: 0.94	E: 0.857952	S: nctgeorpuywsqaizfmxkbhvdl	Time: 63144ms
K: 70000	T: 0.93	E: 0.842913	S: cpkhmoivyqdfxrbwuzlaesntg	Time: 73637ms
K: 80000	T: 0.92	E: 0.868226	S: enwqosvkcbuadpixlmhfrtygz	Time: 84106ms
K: 90000	T: 0.91	E: 0.868257	S: wnbygmckuvsoletrxfiaqpzhd	Time: 94611ms
K: 100000	T: 0.9	E: 0.914327	S: afozqxrpwcdhknsgvtluemiby	Time: 105277ms
K: 110000	T: 0.89	E: 0.794177	S: bidnxeuyklstqvzfgromcwhap	Time: 115884ms
K: 120000	T: 0.88	E: 0.92797	S: adheckovtbzuigypxrmsfwnlq	Time: 126507ms
K: 130000	T: 0.87	E: 0.908751	S: gtfhqlbnyixdspzaovucmwkre	Time: 137174ms
K: 140000	T: 0.86	E: 0.924791	S: nvqskgafzuhopmdlexbwtcyri	Time: 147758ms
K: 150000	T: 0.85	E: 0.883338	S: hgvkmupaotnqfrlizdbweysxc	Time: 158369ms
K: 160000	T: 0.84	E: 0.801097	S: rcqbynugepmtiovswlkhazxdf	Time: 168876ms
K: 170000	T: 0.83	E: 0.837146	S: gfnsaowvzkxubrehlqpcimdyt	Time: 179424ms
K: 180000	T: 0.82	E: 0.916011	S: itqgfyhszwpoduxmvrcnelbak	Time: 190016ms
K: 190000	T: 0.81	E: 0.866924	S: ygkuiwdqsxrnlvhboampztfce	Time: 200596ms
K: 200000	T: 0.8	E: 0.860073	S: fzdvwehxnlipstmcbrqoakygu	Time: 211066ms
K: 210000	T: 0.79	E: 0.909284	S: uvykdxzhnsqelgmoptiarcwfb	Time: 221619ms
K: 220000	T: 0.78	E: 0.890731	S: wdfibkvpcogeznuyamhxlrsqt	Time: 232103ms
K: 230000	T: 0.77	E: 0.874588	S: gautpmsrykifehoqxvnbdlczw	Time: 242603ms
K: 240000	T: 0.76	E: 0.801136	S: tnlbcuogrvfpqwxehysdmazik	Time: 253084ms
K: 250000	T: 0.75	E: 0.87003	S: iwuflcszdhpnqvegtymxoakrb	Time: 263581ms
K: 260000	T: 0.74	E: 0.929577	S: rdgpecnayusxohizwkflbtmvq	Time: 274078ms
K: 270000	T: 0.73	E: 0.859068	S: hvpaksemfczugrnbotxqildyw	Time: 284566ms
K: 280000	T: 0.72	E: 0.875886	S: rqgfhmwopilntckbvueysdzax	Time: 295052ms
K: 290000	T: 0.71	E: 0.926761	S: vkqbwytrmpouldgafnsihexcz	Time: 305548ms
K: 300000	T: 0.7	E: 0.771745	S: cvwptsxklmiqybozfgduahren	Time: 316038ms
K: 310000	T: 0.69	E: 0.915263	S: olyvkngpaitxeuwdfbmczrhsq	Time: 326524ms
K: 320000	T: 0.68	E: 0.873096	S: alvqwkcnmfhpzxoutrsgeidby	Time: 337022ms
K: 330000	T: 0.67	E: 0.919861	S: rlqgpxmuycdnebtfoazwiskhv	Time: 347523ms
K: 340000	T: 0.66	E: 0.913492	S: eznbfxyokuclmtaqhsigdpwrv	Time: 358022ms
K: 350000	T: 0.65	E: 0.917218	S: rewotcvqusdyxknzibfaplhmg	Time: 368516ms
K: 360000	T: 0.64	E: 0.763743	S: provdebqlsutngcxzfywkhima	Time: 379003ms
K: 370000	T: 0.63	E: 0.845278	S: twgpqnuscafzhexidmrlokvby	Time: 389508ms
K: 380000	T: 0.62	E: 0.912488	S: veqmydtfuiazkbcngrwoxshpl	Time: 399999ms
K: 390000	T: 0.61	E: 0.825627	S: okecxvdtnmubsafypirzqwghl	Time: 410538ms
K: 400000	T: 0.6	E: 0.910398	S: eronwbfxuimdkstzagclphvyq	Time: 421041ms
K: 410000	T: 0.59	E: 0.868452	S: cyhelfmougsadbniztqxwkpvr	Time: 431544ms
K: 420000	T: 0.58	E: 0.922571	S: nxpcmtarvowqgbhdyfeulkzsi	Time: 442046ms
