K: 0	T: 1	E: 0.619187	S: ipunagrzkomxlvqfwyhdebtsc	Time: 2ms
K: 10000	T: 0.99	E: 0.820741	S: kwpyiqlaucvzstnofxgbhmerd	Time: 10709ms
K: 20000	T: 0.98	E: 0.879407	S: fmdhgkeacoysulnzxbwqtrpiv	Time: 21251ms
K: 30000	T: 0.97	E: 0.864463	S: cgykmalwdftrbpeqnhozusivx	Time: 31902ms
K: 40000	T: 0.96	E: 0.868223	S: shndoequxtvlkbaycrmpgwizf	Time: 42424ms
K: 50000	T: 0.95	E: 0.894541	S: lfzdrypqawukencimovthgbsx	Time: 52965ms
K: 60000	T: 0.94	E: 0.931816	S: satzdyqvwufxcenlrkpihogmb	Time: 63521ms
K: 70000	T: 0.93	E: 0.914181	S: gsfzoidetkxmyawuvbqrclnhp	Time: 74062ms
K: 80000	T: 0.92	E: 0.868465	S: dfgsqbxvhczrlokwueatinmyp	Time: 84791ms
K: 90000	T: 0.91	E: 0.92033	S: gpkxvhenbylwdfaturmciqosz	Time: 95305ms
K: 100000	T: 0.9	E: 0.875332	S: rmnkhtwdluseiozpafbvxcyqg	Time: 105857ms
K: 110000	T: 0.89	E: 0.877147	S: gdmvpohlzqufaxenbkstrcwiy	Time: 116390ms
K: 120000	T: 0.88	E: 0.89343	S: zxbnidylawsufotkeqvpcrghm	Time: 126976ms
K: 130000	T: 0.87	E: 0.828705	S: nrsfiothkxgaepvqublcdzwym	Time: 137559ms
K: 140000	T: 0.86	E: 0.990264	S: ndorqwkfbluzvphxsyiegtacm	Time: 148115ms
K: 150000	T: 0.85	E: 0.914623	S: xnbrlikwyodhvuzqtpmcsgfae	Time: 158651ms
K: 160000	T: 0.84	E: 0.942244	S: eywifsnbgoxmlcpardtqzkvhu	Time: 169154ms
K: 170000	T: 0.83	E: 0.822169	S: moedagsukvlnptfyqchzwibxr	Time: 179639ms
K: 180000	T: 0.82	E: 0.857263	S: lsegtpzqvoykicwfuaxrhdbmn	Time: 190147ms
K: 190000	T: 0.81	E: 0.878603	S: gchvfbosendwymitrxkqapzul	Time: 200647ms
K: 200000	T: 0.8	E: 0.819363	S: dplxymkovcqghiresunaftwzb	Time: 211217ms
K: 210000	T: 0.79	E: 0.861877	S: elfqzkmpncuixwbrtvdgsaoyh	Time: 221738ms
K: 220000	T: 0.78	E: 0.808917	S: auecbphwtksgxyzinfdmoqvlr	Time: 232269ms
K: 230000	T: 0.77	E: 0.815988	S: cehdxpqovytrmlkibuasfgnzw	Time: 242795ms
K: 240000	T: 0.76	E: 0.98553	S: fgvumzswohtpcenqrdxlaykib	Time: 253325ms
K: 250000	T: 0.75	E: 0.872992	S: anrvtlfemipxqsdoybukwhzgc	Time: 263844ms
K: 260000	T: 0.74	E: 0.899886	S: sbfovcrmzqgputlwenkhyxdia	Time: 274374ms
K: 270000	T: 0.73	E: 0.932093	S: ezfcgsvpnwyxaitdoubkmrlhq	Time: 284888ms
K: 280000	T: 0.72	E: 0.893982	S: rhkigxnqfzutlawcymdovspeb	Time: 295449ms
K: 290000	T: 0.71	E: 0.789096	S: dfewampzhysnbxligrtcqoukv	Time: 306000ms
K: 300000	T: 0.7	E: 0.845039	S: nvfumdbilxphygcowkztarqse	Time: 316639ms
K: 310000	T: 0.69	E: 0.804821	S: bvseurpdcnligaoqmtzxfwykh	Time: 327158ms
K: 320000	T: 0.68	E: 0.95507	S: ornuxvdmicpfbztaekwgyhslq	Time: 337699ms
K: 330000	T: 0.67	E: 0.909022	S: vgcqlronzfpabeiushkmxydwt	Time: 348894ms
K: 340000	T: 0.66	E: 0.870323	S: zplamkcwtevdsoxrugyqbhfin	Time: 359461ms
K: 350000	T: 0.65	E: 0.88807	S: rzoeqhdmkpytlxfsbavugnwic	Time: 370097ms
K: 360000	T: 0.64	E: 0.871984	S: egnatbuiszkfpvrlwoxhdmcqy	Time: 380723ms
K: 370000	T: 0.63	E: 0.870672	S: ovlfizrtnpuqwacsgdkymebxh	Time: 391263ms
K: 380000	T: 0.62	E: 0.890928	S: cepdtfzrbvyhkmaqinuloxswg	Time: 401812ms
K: 390000	T: 0.61	E: 0.884399	S: tkepsaydobclvnuzgrmihwfqx	Time: 412372ms
K: 400000	T: 0.6	E: 0.846614	S: dvrztqfsabnlucphwogiekmxy	Time: 422925ms
K: 410000	T: 0.59	E: 0.863794	S: skblenxmthrqvuzpocgyfdawi	Time: 433524ms
K: 420000	T: 0.58	E: 0.884505	S: omxcwikytezbradgnqhspfuvl	Time: 444059ms
K: 430000	T: 0.57	E: 0.86008	S: eiomycngrfzqtvsuahblpkxdw	Time: 454566ms
K: 440000	T: 0.56	E: 0.836634	S: rvnhtixzylfodbwsgpmeqkuca	Time: 465088ms
K: 450000	T: 0.55	E: 0.911831	S: zratnyofvhgmciwxsdlupekbq	Time: 475755ms
K: 460000	T: 0.54	E: 0.925875	S: euzntbsypqlrihvakdxfwgmco	Time: 486326ms
K: 470000	T: 0.53	E: 0.982586	S: auyslevtwzrqonxdifbhkpmcg	Time: 496949ms
K: 480000	T: 0.52	E: 0.849079	S: zaedcimqklhtgbnpowsfvxryu	Time: 507530ms
K: 490000	T: 0.51	E: 0.957185	S: triexplscnawykgfbvmohudqz	Time: 518069ms
K: 500000	T: 0.5	E: 0.96447	S: mxzdhogubpyiarnswclveqftk	Time: 528635ms
K: 510000	T: 0.49	E: 0.85749	S: hmebtwlinfskvqxycruopzadg	Time: 539203ms
K: 520000	T: 0.48	E: 0.972313	S: redpylqhxaznokicustwbmfvg	Time: 549800ms
K: 530000	T: 0.47	E: 0.92719	S: qxkhueitvslcrdpfzgwyaonbm	Time: 560342ms
K: 540000	T: 0.46	E: 0.883953	S: wdvkyrlnobxpqetimuchgsfaz	Time: 570895ms
K: 550000	T: 0.45	E: 0.944913	S: nbltxfzharuqygvskiwcpodem	Time: 581424ms
K: 560000	T: 0.44	E: 0.896118	S: zehlyqtkaxfpunomdrbwcsivg	Time: 592049ms
