K: 0	T: 1	E: 0.245667	S: anclusfzvdgoqkribmytewhxp	Time: 1ms
K: 10000	T: 0.99	E: 0.756283	S: wznoplmbqcvsxhtueragyfikd	Time: 10586ms
K: 20000	T: 0.98	E: 0.646901	S: lzfgwdarcpxhvbykoesqmiunt	Time: 21133ms
K: 30000	T: 0.97	E: 0.714968	S: auclkzrqfeisogpbvwndmyxht	Time: 31695ms
K: 40000	T: 0.96	E: 0.70548	S: gdwvsrmqcblahptufniokzeyx	Time: 42120ms
K: 50000	T: 0.95	E: 0.659405	S: mbiougtehcfvnqlryakdpxswz	Time: 52565ms
K: 60000	T: 0.94	E: 0.649417	S: baunrksoeqdctipxfzgvymwlh	Time: 63129ms
K: 70000	T: 0.93	E: 0.687921	S: cvlbwmeaozsiunfgkhtdqrpxy	Time: 73634ms
K: 80000	T: 0.92	E: 0.753967	S: cnuiahegvkxtfmyporqdwzslb	Time: 84058ms
K: 90000	T: 0.91	E: 0.676934	S: zmkxhlnqdgteyfcuraviwbops	Time: 94550ms
K: 100000	T: 0.9	E: 0.722024	S: golidkqrcfsxnmhewabztypuv	Time: 105039ms
K: 110000	T: 0.89	E: 0.691208	S: afoczslebgtmudpikqhrwxyvn	Time: 115511ms
K: 120000	T: 0.88	E: 0.701867	S: lqwtzarpnekxhcbmdsuiyvogf	Time: 126002ms
K: 130000	T: 0.87	E: 0.615608	S: qvyzdrmbkeigcfaulposnxwht	Time: 136409ms
K: 140000	T: 0.86	E: 0.683476	S: fotgekxmqrdaucnhsilbzypwv	Time: 146919ms
K: 150000	T: 0.85	E: 0.706751	S: bhclkdnatwmfispoeugxzqyvr	Time: 157426ms
K: 160000	T: 0.84	E: 0.6596	S: zxklymvdctqpongreuabwfsih	Time: 167922ms
K: 170000	T: 0.83	E: 0.69979	S: sgyeblavtwfqxcmdrkiznpouh	Time: 178404ms
K: 180000	T: 0.82	E: 0.749196	S: cqrunxtghfzmokdpbylvwseai	Time: 188825ms
K: 190000	T: 0.81	E: 0.678189	S: esztokpruldwybfingamhvxcq	Time: 199306ms
K: 200000	T: 0.8	E: 0.690894	S: gapmrlwzvkdbyhustfniecxqo	Time: 209816ms
K: 210000	T: 0.79	E: 0.725695	S: cunxhbmvzyksilqetaofgdrwp	Time: 220343ms
K: 220000	T: 0.78	E: 0.741816	S: vprgnbzqwyletcxsouiafmkhd	Time: 230806ms
K: 230000	T: 0.77	E: 0.685997	S: engihrukoqbcatyzfvwxdplsm	Time: 241236ms
K: 240000	T: 0.76	E: 0.680759	S: ouiqgvxydlbnwatzefprkcmhs	Time: 251642ms
K: 250000	T: 0.75	E: 0.775447	S: chidnvfpzwrsteqkyuglomaxb	Time: 262073ms
K: 260000	T: 0.74	E: 0.685039	S: pihdgsfvlzmnqbowtcykeurax	Time: 272480ms
