New best: 0.688829	Config: bwxhoitqmeaflsurdnpgzkyvc
K: 0	T: 1	E: 0.300725	S: bwxhoitqmeaflsurdzpgnkyvc	Time: 1ms
New best: 0.402962	Config: bwxhoitqmeaflsurdzpgvkync
New best: 0.288478	Config: bwxhoitqmeaflrusdzpgnkyvc
K: 10000	T: 0.99	E: 0.822396	S: sqnugxyaolbmtifvzhkrpcdew	Time: 10660ms
K: 20000	T: 0.98	E: 0.757225	S: yflpnhbizgtmwxrvsckdqeuoa	Time: 21177ms
K: 30000	T: 0.97	E: 0.693721	S: bxlvnswhkqtyarcgzopdifume	Time: 31769ms
K: 40000	T: 0.96	E: 0.680703	S: lpgfkmxqhcauoneswtidyvbrz	Time: 42365ms
K: 50000	T: 0.95	E: 0.70655	S: vitsamnudqfopxhzcrkywgebl	Time: 52953ms
K: 60000	T: 0.94	E: 0.72629	S: qoamwetuiblgxydnphkvfcszr	Time: 63491ms
K: 70000	T: 0.93	E: 0.668143	S: ugionhfaqcvlwdbkpxyzstemr	Time: 74010ms
K: 80000	T: 0.92	E: 0.784229	S: ymfcvhwarguqdilbsntokpzex	Time: 84557ms
K: 90000	T: 0.91	E: 0.715364	S: hictkemvrpauonswbfzgdlqxy	Time: 95221ms
K: 100000	T: 0.9	E: 0.658571	S: szoahfrgcywklqvdptmxnbieu	Time: 105884ms
K: 110000	T: 0.89	E: 0.708897	S: owecvbpzxdatnusgfimhqlryk	Time: 116432ms
K: 120000	T: 0.88	E: 0.72538	S: ahomwubzrenkxqlsvcfgtpyid	Time: 126967ms
K: 130000	T: 0.87	E: 0.693567	S: rluahxfkqpztmsdvgwobyniec	Time: 137579ms
K: 140000	T: 0.86	E: 0.736018	S: qeiucbnghldkxmfwzytvsraop	Time: 148193ms
K: 150000	T: 0.85	E: 0.772835	S: tmfbdawopvuihsnrkeycglzqx	Time: 158840ms
K: 160000	T: 0.84	E: 0.686037	S: rategqnkzyhcxmwvsbpouifld	Time: 169446ms
K: 170000	T: 0.83	E: 0.780509	S: gudclhmpwzbevfqrkxaytnosi	Time: 180021ms
K: 180000	T: 0.82	E: 0.649263	S: ckxwhtpylmnsdiaebfrquzvgo	Time: 190586ms
K: 190000	T: 0.81	E: 0.727906	S: uvrehnmkgcfdpoxwyzqlisbta	Time: 201093ms
K: 200000	T: 0.8	E: 0.788022	S: bdenksgqhpwiylctrvamuzxfo	Time: 211622ms
K: 210000	T: 0.79	E: 0.757189	S: dusanplbxqgivfeyrztkhmowc	Time: 222264ms
K: 220000	T: 0.78	E: 0.722389	S: nzeqvbhsfxiuaoltgdwcmypkr	Time: 232936ms
K: 230000	T: 0.77	E: 0.708331	S: kxynfrmtaphoeiubclgdvqzsw	Time: 243762ms
K: 240000	T: 0.76	E: 0.695054	S: wrktbxgznpucsaofyhevqmdil	Time: 254476ms
K: 250000	T: 0.75	E: 0.725041	S: eqhsfnkuoapytidmvgclzxrwb	Time: 265086ms
K: 260000	T: 0.74	E: 0.759759	S: shreuwzymvqidkfgnbatlcxop	Time: 275713ms
K: 270000	T: 0.73	E: 0.769571	S: vkmwliadbqurgexftozyhnscp	Time: 286221ms
K: 280000	T: 0.72	E: 0.721192	S: fyodziqruswlxpkemvbcatghn	Time: 296809ms
K: 290000	T: 0.71	E: 0.710723	S: gdmqyolbwzuvhkxsanfeticrp	Time: 307382ms
K: 300000	T: 0.7	E: 0.740489	S: qbwonkrxfgvcztdesmuilahyp	Time: 317960ms
K: 310000	T: 0.69	E: 0.701	S: cqhzobmtxnvrfkusaiwedpylg	Time: 328549ms
K: 320000	T: 0.68	E: 0.691004	S: etimgkwnrosubhapxyfcdqlzv	Time: 339137ms
K: 330000	T: 0.67	E: 0.69835	S: yfzvxbdhulcsqnmrteigpaokw	Time: 349666ms
K: 340000	T: 0.66	E: 0.715206	S: fqluhbpcxneyzokrwvdgstmia	Time: 360271ms
K: 350000	T: 0.65	E: 0.717548	S: hbvyukpxlqgnwmsotzadifcre	Time: 370788ms
K: 360000	T: 0.64	E: 0.712799	S: tnideswagvblmcxhqopzfruky	Time: 381361ms
K: 370000	T: 0.63	E: 0.708232	S: sivemrcxqzgnpfdlkywbuoath	Time: 391885ms
K: 380000	T: 0.62	E: 0.734599	S: nypbxusatidglfkevmczrqowh	Time: 402400ms
K: 390000	T: 0.61	E: 0.727952	S: tacrugeplkimyhwzoxvfndbqs	Time: 412906ms
K: 400000	T: 0.6	E: 0.815675	S: osaptcmziwuyghebxdvqfrlkn	Time: 423392ms
K: 410000	T: 0.59	E: 0.688749	S: anougedftxchvmyizbplswqrk	Time: 433893ms
K: 420000	T: 0.58	E: 0.738369	S: mdszwneutvcfhgxoriapqyblk	Time: 444436ms
K: 430000	T: 0.57	E: 0.710979	S: kyxobmduelinftahpqgrsvzcw	Time: 454993ms
K: 440000	T: 0.56	E: 0.706594	S: kbfprecdhuisnoaqlwzgvxtym	Time: 465540ms
K: 450000	T: 0.55	E: 0.756638	S: bvpergdmtakhyouiwfcnsqzxl	Time: 476168ms
K: 460000	T: 0.54	E: 0.730726	S: cmlpbehqfkgsdaonutriywzxv	Time: 486748ms
K: 470000	T: 0.53	E: 0.685654	S: pwyeikvrusmtlghzdboqcxfan	Time: 497380ms
K: 480000	T: 0.52	E: 0.759747	S: vpidygzmethcabkxrlqsnfwou	Time: 507983ms
K: 490000	T: 0.51	E: 0.715364	S: eisougdlwyxhqfztacnpbvkmr	Time: 518520ms
K: 500000	T: 0.5	E: 0.65403	S: dxhzkiqmwnefloauybprtvgcs	Time: 529144ms
K: 510000	T: 0.49	E: 0.697954	S: qhvzlmaopgtubdiysxkwrnecf	Time: 539684ms
K: 520000	T: 0.48	E: 0.712374	S: txfklghvpcnqmdearsuiwzoyb	Time: 550308ms
K: 530000	T: 0.47	E: 0.727339	S: wdfvtnbloumeacsrghyixkpzq	Time: 560996ms
K: 540000	T: 0.46	E: 0.685599	S: xzcqvlstpmfenybgouhrkdaiw	Time: 571526ms
K: 550000	T: 0.45	E: 0.710989	S: cvyidpzonbwxkrqglmashfetu	Time: 582058ms
K: 560000	T: 0.44	E: 0.681803	S: vmcopwdniglbzsfxqetykhaur	Time: 592496ms
K: 570000	T: 0.43	E: 0.716196	S: vaslukdgwiyhcfqzetmoxnbrp	Time: 602947ms
K: 580000	T: 0.42	E: 0.71981	S: efgmnuqyotwhzdiksxpbravcl	Time: 613472ms
K: 590000	T: 0.41	E: 0.728803	S: mtclvdaifwprnbokqszxyheug	Time: 624045ms
K: 600000	T: 0.4	E: 0.715701	S: asiphewogbuyfxdqmvlktcrzn	Time: 634576ms
K: 610000	T: 0.39	E: 0.691614	S: pdoiulxwnkvzqyfbmcehstrga	Time: 645051ms
K: 620000	T: 0.38	E: 0.724328	S: yqobrcignhkeltupvdsazxmwf	Time: 655568ms
K: 630000	T: 0.37	E: 0.774894	S: lkiuratcpsbmzyvnxfwdghoeq	Time: 666063ms
K: 640000	T: 0.36	E: 0.76691	S: fimroktcudvghawqnzlbxeysp	Time: 676549ms
K: 650000	T: 0.35	E: 0.709475	S: daveiblycqmrpfsonkhugtxzw	Time: 686996ms
K: 660000	T: 0.34	E: 0.804885	S: pzlbvqsoumdnetxcirgfhkway	Time: 697490ms
K: 670000	T: 0.33	E: 0.686269	S: ieaofchusyrbtwxgpnmdlzqkv	Time: 708331ms
K: 680000	T: 0.32	E: 0.708617	S: oahktlidrmsubcvfngwpqeyxz	Time: 718956ms
K: 690000	T: 0.31	E: 0.725867	S: bdskfzaiomxtngchyurvqlewp	Time: 729726ms
K: 700000	T: 0.3	E: 0.684558	S: uzotspyvxmnhfgiacqldrbkew	Time: 740306ms
K: 710000	T: 0.29	E: 0.711894	S: eaghroumfcvtikypndlbzqswx	Time: 750854ms
K: 720000	T: 0.28	E: 0.718781	S: dgkqevflhboxzywurpsictamn	Time: 761459ms
K: 730000	T: 0.27	E: 0.67699	S: imlgytapfzhubresownqdcxkv	Time: 772181ms
